,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
7511,15:00:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7512,15:00:00,Saturday,Male,Office areas,Other,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7513,14:16:00,Wednesday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7514,14:16:00,Wednesday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7515,14:16:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7516,14:16:00,Wednesday,Male, Church areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7517,14:16:00,Wednesday,Male, Industrial areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7518,14:16:00,Wednesday,Male,Office areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7519,17:34:00,Monday,Male, Church areas,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7520,17:34:00,Monday,Male,Office areas,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7521,12:00:00,Tuesday,Male,Office areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
7522,12:00:00,Tuesday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7523,21:44:00,Monday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
7524,21:44:00,Monday,Male,Residential areas,Other,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
7525,20:14:00,Thursday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7526,17:25:00,Wednesday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Unknown
7527,17:25:00,Wednesday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7528,17:25:00,Wednesday,Male,Other,Motorcycle,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7529,15:51:00,Tuesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7530,10:45:00,Thursday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7531,10:45:00,Thursday,Male, Church areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7532,10:45:00,Thursday,Male,Residential areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7533,15:56:00,Friday,Male,Office areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7534,15:56:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7535,17:23:00,Thursday,Male,Residential areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7536,17:23:00,Thursday,Male, Church areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7537,17:23:00,Thursday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7538,14:09:00,Thursday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),X Shape,Asphalt roads,Dry,Daylight,Normal
7539,14:09:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),X Shape,Asphalt roads,Dry,Daylight,Normal
7540,15:15:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7542,16:52:00,Sunday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7543,16:52:00,Sunday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7545,8:55:00,Monday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7546,8:55:00,Monday,Male,  Recreational areas,Public (13?45 seats),other,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7548,17:18:00,Sunday,Male, Industrial areas,Stationwagen,other,No junction,Asphalt roads,Dry,Daylight,Normal
7550,17:54:00,Friday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7551,22:35:00,Thursday,Male,Residential areas,Stationwagen,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7552,0:10:00,Sunday,Male, Industrial areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7553,0:10:00,Sunday,Male,Residential areas,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7554,0:10:00,Sunday,Male,Residential areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7555,21:45:00,Tuesday,Male,Office areas,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7556,21:45:00,Tuesday,Male,Office areas,Stationwagen,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7557,21:45:00,Tuesday,Male,Office areas,Automobile,other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7558,21:45:00,Tuesday,Male,Office areas,Public (> 45 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7559,21:45:00,Tuesday,Male,Office areas,Other,One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7560,12:31:00,Friday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7561,16:52:00,Wednesday,Male,Office areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
7562,16:52:00,Wednesday,Male,Residential areas,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
7564,2:00:00,Saturday,Male,Other,Automobile,One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7565,2:00:00,Saturday,Male, Church areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7566,16:15:00,Friday,Male,  Recreational areas,Public (12 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7567,16:15:00,Friday,Male, Industrial areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7568,15:45:00,Monday,Male,Residential areas,Lorry (41?100Q),other,Other,Asphalt roads,Dry,Daylight,Unknown
7569,17:36:00,Monday,Male,Residential areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Daylight,Normal
7570,17:36:00,Monday,Male,Office areas,Public (13?45 seats),Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
7571,17:36:00,Monday,Male,  Market areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7572,13:12:00,Saturday,Male,Unknown,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Daylight,Raining
7573,13:12:00,Saturday,Male, Industrial areas,Motorcycle,other,No junction,Asphalt roads,Wet or damp,Daylight,Raining
7574,12:20:00,Monday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7575,16:09:00,Friday,Male,Residential areas,Ridden horse,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7576,16:09:00,Friday,Male,Other,Automobile,Undivided Two way,Y Shape,Gravel roads,Dry,Daylight,Normal
7577,20:29:00,Tuesday,Male,Residential areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7578,15:14:00,Tuesday,Male,Rural village areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7579,15:14:00,Tuesday,Male,Rural village areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7580,15:14:00,Tuesday,Female,Office areas,Stationwagen,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7581,15:42:00,Tuesday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7582,15:42:00,Tuesday,Male,Residential areas,Public (12 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
7583,16:30:00,Monday,Male, Outside rural areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
7584,16:30:00,Monday,Male,Residential areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
7585,11:31:00,Monday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7586,11:31:00,Monday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal
7587,11:31:00,Monday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7588,19:30:00,Thursday,Unknown,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
7589,19:30:00,Thursday,Male,Other,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7590,19:30:00,Thursday,Male,Other,Taxi,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7591,18:57:00,Friday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7592,18:57:00,Friday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7593,18:57:00,Friday,Male,Other,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7594,16:20:00,Friday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7595,13:40:00,Saturday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7596,13:40:00,Saturday,Male,Other,Lorry (41?100Q),Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
7597,20:03:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7598,20:03:00,Saturday,Male, Church areas,Public (12 seats),Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7599,18:20:00,Monday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7600,18:20:00,Monday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7601,18:20:00,Monday,Male,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7602,15:30:00,Monday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
7603,15:30:00,Monday,Male,Office areas,Motorcycle,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
7605,12:00:00,Sunday,Male, Industrial areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7606,12:00:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7607,12:00:00,Sunday,Male, Hospital areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7608,16:04:00,Sunday,Male,Office areas,Public (> 45 seats),One way,No junction,Asphalt roads,Dry,Daylight,Normal
7610,16:14:00,Friday,Male, Hospital areas,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7611,16:14:00,Friday,Male,Office areas,Automobile,other,Other,Asphalt roads,Dry,Daylight,Normal
7612,12:22:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7613,12:22:00,Saturday,Male,Office areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7614,21:01:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7615,21:01:00,Saturday,Male,Other,Taxi,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7616,21:01:00,Saturday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7617,7:43:00,Friday,Male,Residential areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7618,7:43:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7619,21:55:00,Monday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7620,21:55:00,Monday,Male,Office areas,Public (13?45 seats),Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7621,22:33:00,Thursday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7622,22:33:00,Thursday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7623,17:29:00,Tuesday,Male, Church areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7624,17:29:00,Tuesday,Male, Industrial areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7625,14:23:00,Friday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7626,14:23:00,Friday,Male, Church areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7627,14:23:00,Friday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7628,18:00:00,Saturday,Male,Office areas,Other,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7629,18:00:00,Saturday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7630,13:40:00,Sunday,Male,Office areas,Taxi,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7631,13:21:00,Saturday,Male,Residential areas,Automobile,Undivided Two way,Other,Asphalt roads,Wet or damp,Daylight,Raining
7632,13:21:00,Saturday,Male,Office areas,Long lorry,Double carriageway (median),Other,Asphalt roads,Wet or damp,Daylight,Raining
7633,15:55:00,Wednesday,Male,Office areas,Long lorry,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7634,15:55:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7635,13:28:00,Saturday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7636,13:28:00,Saturday,Male,Residential areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7637,19:00:00,Monday,Female, Church areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7638,19:00:00,Monday,Male, Church areas,Taxi,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7639,16:55:00,Sunday,Male,Residential areas,Other,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7640,16:55:00,Sunday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7641,8:45:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7642,14:10:00,Monday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7643,14:10:00,Monday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7644,19:26:00,Monday,Male,Other,Public (> 45 seats),Two-way (divided with broken lines road marking),Other,Asphalt roads,Wet or damp,Daylight,Normal
7645,19:26:00,Monday,Male,Office areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Other,Asphalt roads,Wet or damp,Daylight,Normal
7646,13:54:00,Monday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7647,13:54:00,Monday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7649,11:14:00,Sunday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7650,17:30:00,Saturday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7651,15:10:00,Thursday,Male,Other,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads with some distress,Dry,Daylight,Normal
7652,15:10:00,Thursday,Male,Other,Motorcycle,One way,No junction,Asphalt roads,Dry,Daylight,Normal
7653,15:10:00,Thursday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7654,18:23:00,Wednesday,Male,Office areas,Pick up upto 10Q,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7655,18:23:00,Wednesday,Male, Industrial areas,Motorcycle,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7656,18:23:00,Wednesday,Male,Residential areas,Stationwagen,Double carriageway (median),Y Shape,Gravel roads,Dry,Daylight,Normal
7657,18:15:00,Wednesday,Male,Office areas,Lorry (41?100Q),Unknown,Crossing,Asphalt roads,Dry,Daylight,Normal
7659,8:00:00,Friday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
